bin_online,ent_coef,logp_mean,qw_mean,w_absmean,mu_absmean,w_frac_sat,log_std_mean,offline_p,run,task,group,seed,entropy_estimate,ratio_ge_gq,gq_norm
10000,0.052308877976611226,0.6888591647148132,118.32693672180176,0.602370098233223,0.7688557058572769,0.2094029113650322,-0.4697967246174812,0.0,can_rs_025_s1,can,rs_025,1,-0.6888591647148132,0.46200723014313594,0.8603899925947189
15000,0.043774451036006176,-0.16886498034000397,79.5044116973877,0.5964736938476562,0.7576096206903458,0.1995326541364193,-0.4795651361346245,0.0,can_rs_025_s1,can,rs_025,1,0.16886498034000397,0.46045938940682324,0.7321868538856506
20000,0.035730178561061574,-0.19996095448732376,46.730698585510254,0.5973829030990601,0.76009202003479,0.2019043043255806,-0.4784044176340103,0.0,can_rs_025_s1,can,rs_025,1,0.19996095448732376,0.42206725214097207,0.6570935100317001
25000,0.027981026540510323,0.9254842922091484,22.757630348205566,0.6074376702308655,0.7906624227762222,0.2135881781578064,-0.47617676854133606,0.0,can_rs_025_s1,can,rs_025,1,-0.9254842922091484,0.41964840123322616,0.5313797444105148
30000,0.02256375791504974,0.9964693427085877,5.544320058822632,0.6154085993766785,0.7996937751770019,0.22826452255249025,-0.43559332489967345,0.0,can_rs_025_s1,can,rs_025,1,-0.9964693427085877,0.4116463085616283,0.42378227710723876
35000,0.0200080065289512,-0.06923815608024597,-3.100550591945648,0.6169414967298508,0.7951955497264862,0.2240862250328064,-0.4041661843657493,0.0,can_rs_025_s1,can,rs_025,1,0.06923815608024597,0.42708852897034144,0.3504591360688209
40000,0.017321904562413625,0.1880121231079101,-6.783358573913574,0.6155621409416199,0.7920558601617813,0.2262486144900322,-0.42210450768470764,0.0,can_rs_025_s1,can,rs_025,1,-0.1880121231079101,0.4476699056015164,0.29285576194524765
45000,0.01537585309706625,0.6348426006734371,-8.197948098182678,0.625577911734581,0.8150378912687302,0.2320382334291935,-0.3925456330180168,0.0,can_rs_025_s1,can,rs_025,1,-0.6348426006734371,0.48739625496394934,0.23562851548194882
50000,0.01443406150210645,0.5926491543650627,-9.194679498672485,0.6244858056306839,0.8135143518447876,0.2365025207400322,-0.4070250988006592,0.0,can_rs_025_s1,can,rs_025,1,-0.5926491543650627,0.49602241194644253,0.22177195176482198
55000,0.013703963195439376,0.08565766364336017,-9.510538816452026,0.6180336475372314,0.7913160920143127,0.2284458801150322,-0.397430807352066,0.0,can_rs_025_s1,can,rs_025,1,-0.08565766364336017,0.4644234577088429,0.21768058463931084
60000,0.01300150457769624,-0.011200958490371726,-9.921759986877442,0.6138059973716736,0.7863195419311524,0.22287947833538055,-0.4164277076721191,0.0,can_rs_025_s1,can,rs_025,1,0.011200958490371726,0.47450580955468225,0.20710971057415004
65000,0.012983483041170925,0.5478084906935692,-9.832211256027222,0.6231974959373474,0.8005408495664597,0.2306431494653225,-0.41294170916080475,0.0,can_rs_025_s1,can,rs_025,1,-0.5478084906935692,0.48448477629469416,0.20314495265483856
70000,0.01218746866798025,0.0817941427230835,-10.028370380401611,0.613237664103508,0.7848200649023056,0.2239467203617096,-0.4258652105927467,0.0,can_rs_025_s1,can,rs_025,1,-0.0817941427230835,0.48443138234236405,0.1927666030824184
75000,0.0121641401667147,0.0668611228466034,-10.364830017089844,0.6158381700515747,0.7977949380874634,0.229631707072258,-0.4161513447761535,0.0,can_rs_025_s1,can,rs_025,1,-0.0668611228466034,0.4978809571867572,0.1879589855670929
0,0.38041340131312606,-14.539129257202148,152.61870193481445,0.5374392718076706,0.3122388944029808,0.1209542453289032,-0.2156729511916637,0.0,can_rs_025_s2,can,rs_025,2,14.539129257202148,1.0437576864743154,1.4048646539449692
5000,0.0920690878294408,-3.731415331363678,151.82870483398438,0.582400918006897,0.6767415553331375,0.1744907982647419,-0.4237104058265686,0.0,can_rs_025_s2,can,rs_025,2,3.731415331363678,0.4756853409668784,1.3090069591999054
10000,0.057271719817072124,1.3595154136419296,107.30439186096191,0.6137367337942123,0.7984554469585419,0.2170759029686451,-0.46996937692165375,0.0,can_rs_025_s2,can,rs_025,2,-1.3595154136419296,0.473759598225326,0.9534849226474762
15000,0.0424605742562562,-0.5878405775874853,66.31875896453857,0.5991944074630737,0.7563210874795914,0.1981724426150322,-0.48025543987751007,0.0,can_rs_025_s2,can,rs_025,2,0.5878405775874853,0.44594105805531864,0.7494914382696152
20000,0.029789062030613375,-0.5831618644297123,34.234092235565186,0.6010956019163132,0.7563934773206711,0.2051130123436451,-0.45223728567361826,0.0,can_rs_025_s2,can,rs_025,2,0.5831618644297123,0.44107879400526717,0.5153587013483047
25000,0.023853125795721974,0.6374445892870426,13.168175458908081,0.6120646148920059,0.8002396821975708,0.2175641804933548,-0.45217131823301315,0.0,can_rs_025_s2,can,rs_025,2,-0.6374445892870426,0.443218726663242,0.422949306666851
30000,0.01896860418841238,-0.20283301472663878,-0.23525922298431395,0.6056973338127136,0.763660216331482,0.20904018580913544,-0.46159542798995973,0.0,can_rs_025_s2,can,rs_025,2,0.20283301472663878,0.42993721042873895,0.3413626551628113
35000,0.016994188795797477,0.08721413463354105,-7.0653157234191895,0.6104186475276947,0.7907970249652863,0.2224121205508709,-0.4326312839984894,0.0,can_rs_025_s2,can,rs_025,2,-0.08721413463354105,0.43853500733609346,0.2977253794670105
40000,0.015496513538528175,0.09484381601214412,-9.063870668411255,0.6217223405838013,0.8042849749326706,0.2328752912580967,-0.3986261114478111,0.0,can_rs_025_s2,can,rs_025,2,-0.09484381601214412,0.4634336521119437,0.25105967745184893
