task,treatment,comparator,metric,n,seeds,delta,delta_se,positive_n,negative_n,per_seed_deltas
can,tent12i,baseline,endpoint,3,"1,2,3",0.22333333333333336,0.10864058991821511,3,0,"{""1"": 0.15999999999999992, ""2"": 0.07500000000000007, ""3"": 0.43500000000000005}"
can,tent12i,baseline,at10k,3,"1,2,3",0.15666666666666665,0.17891649200426196,2,1,"{""1"": 0.21999999999999997, ""2"": -0.1800000000000001, ""3"": 0.43000000000000005}"
can,tent12i,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.02275763250382797,0.013967347988365379,0,3,"{""1"": -0.007575843605566339, ""2"": -0.010041006329535848, ""3"": -0.05065604757638172}"
can,tent6,baseline,auc_early,3,"1,2,3",0.07400786130413424,0.02505593416099322,3,0,"{""1"": 0.11349968414403039, ""2"": 0.08097704779953685, ""3"": 0.027546851968835495}"
can,tent6,baseline,endpoint,0,,,,0,0,{}
can,tent6,baseline,at10k,3,"1,2,3",0.14333333333333328,0.028480012484391744,3,0,"{""1"": 0.1999999999999999, ""2"": 0.12, ""3"": 0.10999999999999999}"
can,tent6,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.009305571898275428,0.006737417688632045,1,2,"{""1"": -0.020390954327785694, ""2"": 0.0028714326665487747, ""3"": -0.010397194033589366}"
can,warmup,baseline,auc_early,3,"1,2,3",0.04902997122201166,0.027720236576958886,3,0,"{""1"": 0.047556327647925944, ""2"": 0.0017708991366603422, ""3"": 0.09776268688144868}"
can,warmup,baseline,endpoint,3,"1,2,3",0.06833333333333336,0.06009252125773318,2,1,"{""1"": 0.03500000000000003, ""2"": -0.015000000000000013, ""3"": 0.18500000000000005}"
can,warmup,baseline,at10k,3,"1,2,3",0.14666666666666667,0.07535103036971544,3,0,"{""1"": 0.27, ""2"": 0.010000000000000009, ""3"": 0.15999999999999998}"
can,warmup,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.011869541102107627,0.009184488247964053,1,2,"{""1"": -0.008752817238465247, ""2"": 0.002249437218783722, ""3"": -0.02910524328664136}"
can,warmupc,baseline,auc_early,3,"1,2,3",0.07373096090405006,0.04671365187223275,2,1,"{""1"": 0.11678353337544761, ""2"": -0.019603074331438153, ""3"": 0.12401242366814069}"
can,warmupc,baseline,endpoint,3,"1,2,3",0.135,0.09291573243177573,3,0,"{""1"": 0.0050000000000000044, ""2"": 0.08499999999999996, ""3"": 0.31500000000000006}"
can,warmupc,baseline,at10k,3,"1,2,3",0.24,0.10115993936995682,3,0,"{""1"": 0.22999999999999998, ""2"": 0.06999999999999995, ""3"": 0.42000000000000004}"
can,warmupc,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.019105756156943595,0.01278954225954661,1,2,"{""1"": -0.02653292856441332, ""2"": 0.005805589507368137, ""3"": -0.036589929413785596}"
square,calql,baseline,auc_early,3,"1,2,3",0.05305052169137836,0.02403752060788251,3,0,"{""1"": 0.005156507413509037, ""2"": 0.0806072016945164, ""3"": 0.07338785596610964}"
square,calql,baseline,endpoint,3,"1,2,3",-0.05666666666666668,0.13058628479965953,1,2,"{""1"": 0.15500000000000003, ""2"": -0.2950000000000001, ""3"": -0.02999999999999997}"
square,calql,baseline,at10k,3,"1,2,3",0.20333333333333334,0.02848001248439178,3,0,"{""1"": 0.18, ""2"": 0.16999999999999998, ""3"": 0.26}"
square,calql,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.05216545548675216,0.0200738052413998,0,3,"{""1"": -0.012144587702753923, ""2"": -0.06941535012513633, ""3"": -0.07493642863236621}"
square,cql,baseline,auc_early,3,"1,2,3",0.060520906880050185,0.012388876076954764,3,0,"{""1"": 0.041252059308072464, ""2"": 0.056665097670039966, ""3"": 0.08364556366203812}"
square,cql,baseline,endpoint,3,"1,2,3",-0.14,0.1374772708486752,1,2,"{""1"": -0.04999999999999999, ""2"": -0.41000000000000003, ""3"": 0.03999999999999998}"
square,cql,baseline,at10k,3,"1,2,3",0.1633333333333333,0.03179797338056484,3,0,"{""1"": 0.15999999999999998, ""2"": 0.21999999999999992, ""3"": 0.10999999999999999}"
square,cql,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.050413038324045374,0.0078550351035279,0,3,"{""1"": -0.04376204232563948, ""2"": -0.04141263195055184, ""3"": -0.0660644406959448}"
