task,group,bin_online,ent_coef_mean,ent_coef_sem,ent_coef_count,logp_mean_mean,logp_mean_sem,logp_mean_count,qw_mean_mean,qw_mean_sem,qw_mean_count,w_absmean_mean,w_absmean_sem,w_absmean_count,mu_absmean_mean,mu_absmean_sem,mu_absmean_count,w_frac_sat_mean,w_frac_sat_sem,w_frac_sat_count,log_std_mean_mean,log_std_mean_sem,log_std_mean_count,offline_p_mean,offline_p_sem,offline_p_count,ratio_ge_gq_mean,ratio_ge_gq_sem,ratio_ge_gq_count,gq_norm_mean,gq_norm_sem,gq_norm_count,entropy_estimate_mean,entropy_estimate_sem,entropy_estimate_count
can,alr_double,65000,0.051052289999400535,0.0018046595154511266,3,-0.28170357768734294,0.19151073397459897,3,-29.31341807047526,3.041885665924393,3,0.618659550944964,0.003029947790042921,3,0.792069286108017,0.008471605127503395,3,0.22765533129374185,0.0037207301774231987,3,-0.3994920800129573,0.004276007181080169,3,0.0,0.0,3,,,0,,,0,0.28170357768734294,0.19151073397459897,3
can,alr_double,70000,0.05081465303276971,0.003123122200117493,3,0.12015424482524395,0.06069626115938218,3,-30.944461981455486,1.9366233891564228,3,0.6210831354061762,0.0026892011745573052,3,0.7976341644922892,0.005003616328433732,3,0.23017811651031175,0.002700852294671396,3,-0.4066254024704297,0.007350368908535528,3,0.0,0.0,3,,,0,,,0,-0.12015424482524395,0.06069626115938218,3
can,alr_double,75000,0.0497013659526904,0.0034353968781757616,3,0.3350874334573746,0.13610689592259165,3,-31.568156719207764,1.238947061174413,3,0.6223577012618383,0.0024118981621786455,3,0.8035130401452383,0.005900070126287633,3,0.23407273987929025,0.0023620872531452636,3,-0.40520145992438,0.0028248902809603358,3,0.0,0.0,3,,,0,,,0,-0.3350874334573746,0.13610689592259165,3
can,alr_double,80000,0.04974025292322035,0.003870418184402792,3,-0.09678948546449344,0.10669786801544195,3,-32.271453221639,1.3163872770018796,3,0.6218355000019073,0.003015083600977372,3,0.7935290336608887,0.006484339693268393,3,0.2308640368282795,0.0027675870991480224,3,-0.3979501624902089,0.003583513677358909,3,0.0,0.0,3,,,0,,,0,0.09678948546449344,0.10669786801544195,3
can,alr_double,85000,0.04902492389082905,0.00439593594068939,3,0.02851346880197526,0.09253686274012601,3,-32.15236775080363,1.424184133700111,3,0.6198525577783585,0.0021839443657880203,3,0.7971043437719345,0.0036481209750990782,3,0.2303292490541935,0.001348236648146698,3,-0.40640739351511,0.006509775251595663,3,0.0,0.0,3,,,0,,,0,-0.02851346880197526,0.09253686274012601,3
can,alr_double,90000,0.04906898391743495,0.004304108327489103,3,-0.002984768152236935,0.10355466838278979,3,-32.835702641805014,0.6260049907576939,3,0.6229845523834229,0.0011367107583691864,3,0.7991016864776611,0.004144535577577955,3,0.23271950284639994,0.0016754484905372698,3,-0.4025029261906942,0.007987010874201205,3,0.0,0.0,3,,,0,,,0,0.002984768152236935,0.10355466838278979,3
can,alr_double,95000,0.047648278903216074,0.00426464400793256,3,-0.011543702955047289,0.24968543333759305,3,-31.76060422261556,1.1914006471237,3,0.6222234318653742,0.0018775637440980155,3,0.7947742144266764,0.008973656789222958,3,0.2300618588924408,0.0017583720622194362,3,-0.4041718790928523,0.003813331930918291,3,0.0,0.0,3,,,0,,,0,0.011543702955047289,0.24968543333759305,3
can,alr_double,100000,0.046815733689193874,0.0038175335272691902,3,-0.19824156103034815,0.16285552931707298,3,-31.50321674346924,1.1523433743093778,3,0.6210581660270691,0.002902540736887659,3,0.7909522205591202,0.005554948577228269,3,0.22713217263420424,0.0036330568378693906,3,-0.4075115770101547,0.006447881276664465,3,0.0,0.0,3,,,0,,,0,0.19824156103034815,0.16285552931707298,3
can,alr_double,105000,0.04647785690613087,0.00350111902812955,3,-0.20824257532755533,0.2671505251533875,3,-31.648375670115154,1.9467535771920939,3,0.620506172378858,0.0027463417226076202,3,0.7867493182420731,0.010207119573617323,3,0.22562082608540854,0.0019484485733313117,3,-0.4103102708856265,0.004652504412712872,3,0.0,0.0,3,,,0,,,0,0.20824257532755533,0.2671505251533875,3
can,alr_double,110000,0.045913379903261796,0.0036742547477431847,3,0.05536969130237899,0.12283426084044946,3,-33.22563727696737,2.270768597304591,3,0.6236204753319422,0.0017664933532183086,3,0.7955243835846583,0.00882356897258401,3,0.23053851475318274,0.0031059019687364295,3,-0.4118925581375758,0.0016903891636234447,3,0.0,0.0,3,,,0,,,0,-0.05536969130237899,0.12283426084044946,3
